,DATE,RV,RSV_plus,RSV_minus
88,20110510,1.7900771312549957e-05,1.1729767534398813e-05,6.171003778151146e-06
89,20110511,5.2058674507518675e-05,2.0511451315064348e-05,3.1547223192454334e-05
90,20110512,5.1397704267192323e-05,2.8472882221982243e-05,2.292482204521008e-05
91,20110513,5.135568721102318e-05,1.8527565642826585e-05,3.28281215681966e-05
92,20110516,5.327667099546422e-05,2.4480353842186792e-05,2.8796317153277426e-05
93,20110517,7.94304356725615e-05,4.4613208917100126e-05,3.481722675546136e-05
94,20110518,3.555383520979564e-05,2.2702853969817438e-05,1.2850981239978214e-05
95,20110519,3.4502849723141163e-05,1.540117647733907e-05,1.910167324580209e-05
96,20110520,3.6843929661767035e-05,1.6054505224522238e-05,2.0789424437244804e-05
97,20110523,4.395134071757085e-05,2.1546967161394317e-05,2.2404373556176536e-05
98,20110524,3.252669532002816e-05,1.4755736408178257e-05,1.77709589118499e-05
99,20110525,3.384093561468529e-05,2.3024709544518763e-05,1.0816226070166532e-05
100,20110526,4.048440784996966e-05,2.3621991848119766e-05,1.6862416001849886e-05
101,20110527,2.061291084415203e-05,8.380323803602862e-06,1.223258704054917e-05
102,20110531,2.5179230049761813e-05,1.268416339332032e-05,1.24950666564415e-05
103,20110601,5.711047361022445e-05,1.4389985623485531e-05,4.2720487986738926e-05
104,20110602,7.472280985202043e-05,3.5073249486318514e-05,3.964956036570193e-05
105,20110603,5.889191408018544e-05,3.309642378537412e-05,2.5795490294811335e-05
106,20110606,4.8779954604304656e-05,2.065495412008136e-05,2.8125000484223287e-05
107,20110607,3.6022377089479984e-05,1.372209563362284e-05,2.2300281455857142e-05
108,20110608,6.863233422735225e-05,3.5809543507717926e-05,3.282279071963432e-05
109,20110609,2.9097390257887874e-05,1.878693472022064e-05,1.0310455537667236e-05
110,20110610,6.174471749908594e-05,2.8324814528658445e-05,3.34199029704275e-05
111,20110613,4.868661334267569e-05,2.328773311609514e-05,2.539888022658055e-05
112,20110614,2.3174053216664628e-05,1.154005386874282e-05,1.1633999347921812e-05
113,20110615,8.346901704458682e-05,3.391678482030368e-05,4.9552232224283134e-05
114,20110616,9.064194384655365e-05,4.699350033567728e-05,4.3648443510876326e-05
115,20110617,5.9190027019791055e-05,3.147895317734734e-05,2.7711073842443715e-05
116,20110620,4.541049269477477e-05,2.8693951581348134e-05,1.671654111342663e-05
117,20110621,2.6200486864596246e-05,1.771737065065261e-05,8.483116213943635e-06
118,20110622,4.243732727202718e-05,2.074350023294927e-05,2.1693827039077902e-05
119,20110623,0.00014608816542246934,9.372177929211044e-05,5.2366386130358915e-05
120,20110624,6.66013939836078e-05,2.3270999105305696e-05,4.333039487830208e-05
121,20110627,3.90742907421995e-05,2.629598884638343e-05,1.277830189581608e-05
122,20110628,2.0271849970494656e-05,1.5111655963816495e-05,5.160194006678158e-06
123,20110629,4.626200555738667e-05,2.3308239730253004e-05,2.2953765827133668e-05
124,20110630,3.686116915449283e-05,2.3042155560522435e-05,1.3819013593970392e-05
125,20110701,2.9155754883026437e-05,2.2062348936887742e-05,7.0934059461386965e-06
126,20110705,2.455672859035343e-05,1.1662283972749318e-05,1.289444461760411e-05
127,20110706,3.1509499132143073e-05,1.5280063963098553e-05,1.6229435169044523e-05
128,20110707,1.5287342655394806e-05,8.448115136697568e-06,6.839227518697239e-06
129,20110708,3.7352098210490566e-05,2.085087482113171e-05,1.6501223389358857e-05
130,20110711,4.793087974070487e-05,1.900781066497163e-05,2.8923069075733236e-05
131,20110712,7.408924290627848e-05,3.3867372117575726e-05,4.022187078870274e-05
132,20110713,5.68631046076676e-05,2.648532997126356e-05,3.0377774636404024e-05
133,20110714,8.283860450991261e-05,3.952390722332675e-05,4.331469728658583e-05
134,20110715,7.540468143322384e-05,3.858885340115763e-05,3.6815828032066225e-05
135,20110718,6.304180667775993e-05,2.5003984033262292e-05,3.803782264449764e-05
136,20110719,3.6704216681350515e-05,2.7714766058514972e-05,8.98945062283555e-06
137,20110720,2.9631827880853272e-05,1.2759827587190032e-05,1.6872000293663237e-05
138,20110721,5.7011708937707455e-05,3.8284752802397006e-05,1.872695613531046e-05
139,20110722,2.974661549609281e-05,1.4716231907182096e-05,1.5030383588910711e-05
140,20110725,3.933800496276857e-05,2.2433613123557564e-05,1.690439183921099e-05
141,20110726,3.70115952650848e-05,1.4381419663383425e-05,2.263017560170137e-05
142,20110727,6.131950714574749e-05,2.3057577317477708e-05,3.82619298282698e-05
143,20110728,6.089966080677121e-05,2.931597246623675e-05,3.158368834053446e-05
144,20110729,0.00012681754214156226,7.438846255246314e-05,5.242907958909913e-05
145,20110801,0.00014915770488839488,4.8171369295367625e-05,0.00010098633559302726
146,20110802,0.00012256635139181975,4.9981343515591774e-05,7.258500787622797e-05
147,20110803,0.0002215187485198233,0.00010965675730558757,0.00011186199121423576
148,20110804,0.00026996740961879957,9.171739887376833e-05,0.00017825001074503133
149,20110805,0.0008944291555403606,0.0004045989743050585,0.0004898301812353021
150,20110808,0.00082251106943588,0.00035223308536220843,0.00047027798407367174
151,20110809,0.0012950522473176755,0.0007257323218821505,0.0005693199254355251
152,20110810,0.0011562181720705625,0.00044912988480649206,0.0007070882872640704
153,20110811,0.0006481216220203674,0.0003841151457855951,0.0002640064762347722
154,20110812,0.00028351138073957877,0.00014329205670338794,0.00014021932403619075
155,20110815,7.578159920052202e-05,4.0951509296572785e-05,3.483008990394924e-05
156,20110816,0.0002060296210859617,9.825256920155767e-05,0.00010777705188440406
157,20110817,0.00010271536222500281,4.5973617216652884e-05,5.674174500834992e-05
158,20110818,0.00041529109385608743,0.00018929252727282352,0.00022599856658326396
159,20110819,0.0003262643242538827,0.00015201695272157125,0.00017424737153231141
160,20110822,0.00022219327257869608,8.193879777273293e-05,0.00014025447480596316
161,20110823,0.0002414922057899321,0.00016186459295315344,7.962761283677864e-05
162,20110824,0.00021205784302006405,0.0001327288795578751,7.932896346218899e-05
163,20110825,0.000279082871137971,0.00011200378075559977,0.00016707909038237115
164,20110826,0.0003363259831375111,0.00021479352965434107,0.00012153245348316995
165,20110829,5.9454414184183e-05,3.7374118456702426e-05,2.208029572748058e-05
166,20110830,0.00015966676712821353,8.975513144802188e-05,6.991163568019169e-05
167,20110831,0.00014628493939056175,7.709380644586523e-05,6.919113294469655e-05
168,20110901,0.00021238689075913421,0.00011506954203574862,9.731734872338554e-05
169,20110902,0.00012158946986793421,5.2479186400273035e-05,6.911028346766119e-05
170,20110906,0.0001852787704831849,0.00012820509426446464,5.70736762187203e-05
171,20110907,6.139912822228449e-05,4.2452835735958586e-05,1.8946292486325894e-05
172,20110908,0.0001554063980358536,6.930510084738798e-05,8.610129718846564e-05
173,20110909,0.00025938251669487884,0.00011072513242663542,0.0001486573842682433
174,20110912,0.00025355293643491815,0.00016282196941023945,9.073096702467867e-05
175,20110913,0.000167506510803489,8.849899256681978e-05,7.900751823666918e-05
176,20110914,0.0002004061176792772,0.00010716745598631353,9.323866169296369e-05
177,20110915,0.00010775049976995084,5.560006947053918e-05,5.2150430299411676e-05
178,20110916,0.0001074273542408343,5.3947662064048526e-05,5.347969217678578e-05
179,20110919,0.0001186415864120941,6.65648562577488e-05,5.2076730154345305e-05
180,20110920,0.00012972017226224234,6.02525035289401e-05,6.946766873330218e-05
181,20110921,0.00031661997777921396,0.00010866565868353517,0.0002079543190956788
182,20110922,0.0004955481706026451,0.0002656752441628569,0.00022987292643978814
183,20110923,0.00034142015667042673,0.00019971317461423555,0.00014170698205619127
184,20110926,0.00019574391455593322,0.00011699332587736494,7.875058867856834e-05
185,20110927,0.000152761316659984,7.211191438877673e-05,8.064940227120729e-05
186,20110928,0.00023710099629338475,8.917154809788381e-05,0.00014792944819550096
187,20110929,0.0002740926103908273,0.0001114450324701078,0.00016264757792071953
188,20110930,0.0002769960805517761,0.00013660713971540048,0.00014038894083637555
189,20111003,0.00041929104002684156,0.0001822102918475339,0.00023708074817930768
190,20111004,0.0006625957464278871,0.0003873687945154767,0.00027522695191241044
191,20111005,0.00023796356294570787,0.00013113179184388437,0.0001068317711018235
192,20111006,0.00018394093902844263,0.00011077583996117976,7.316509906726282e-05
193,20111007,0.00022622958765715256,9.115164319206887e-05,0.0001350779444650836
194,20111010,9.926953570640411e-05,6.44101960054148e-05,3.4859339700989336e-05
195,20111011,0.00010632572879658133,6.253937500242757e-05,4.3786353794153795e-05
196,20111012,0.00011605398367235433,5.637008802893809e-05,5.968389564341625e-05
197,20111013,0.00012573045372735476,6.614283635143219e-05,5.958761737592254e-05
198,20111014,7.702187842644306e-05,4.261246015024308e-05,3.4409418276199947e-05
199,20111017,0.00011061037994749146,4.988676465222193e-05,6.072361529526955e-05
200,20111018,0.0002365336333875824,0.00013890567982951848,9.762795355806395e-05
201,20111019,0.00015561141377274005,7.19429717321982e-05,8.366844204054185e-05
202,20111020,0.000196048387653253,0.0001086235425965008,8.742484505675218e-05
203,20111021,7.166118903444121e-05,4.5685053843463624e-05,2.5976135190977607e-05
204,20111024,5.910384354646227e-05,3.717021229426844e-05,2.1933631252193842e-05
205,20111025,0.000220560536051991,9.22431150724266e-05,0.00012831742097956444
206,20111026,0.00019623087817228,0.00010119302578120244,9.503785239107758e-05
