,DATE,RV_abs,RV_s,RSV_a_plus,RSV_a_minus,RSV_s_plus,RSV_s_minus
27,20031017.0,0.0465935153533632,4.71515642959869e-05,0.01743144794071494,0.029162067412648263,1.0385378747172986e-05,3.6766185548813923e-05
28,20031020.0,0.047506124223210655,4.4126846164206625e-05,0.025296914937243287,0.02220920928596737,2.3558115618377398e-05,2.0568730545829207e-05
29,20031021.0,0.04242540229840497,3.798415572211324e-05,0.02178478359147551,0.02064061870692946,2.0536799734086386e-05,1.7447355988026845e-05
30,20031022.0,0.044925846059052255,4.099707165773583e-05,0.01959496153563034,0.025330884523421915,1.9457532990996153e-05,2.153953866673965e-05
31,20031023.0,0.05734102700693011,6.266580635712309e-05,0.032784169771232996,0.02455685723569712,3.8682697321121805e-05,2.3983109036001308e-05
32,20031024.0,0.0545026488547915,5.639881910923051e-05,0.02919250904559512,0.025310139809196386,3.1895184618734836e-05,2.4503634490495665e-05
33,20031027.0,0.04397217073601123,4.088173783551641e-05,0.02063473319406306,0.02333743754194817,1.867516577108324e-05,2.220657206443316e-05
34,20031028.0,0.04345273049071974,4.144427483807545e-05,0.026750090584917167,0.016702639905802563,2.6270035221334225e-05,1.5174239616741226e-05
35,20031029.0,0.03933269938996453,3.3531867894032406e-05,0.021714264164350183,0.01761843522561435,1.872391249866298e-05,1.4807955395369448e-05
36,20031030.0,0.06202706632467692,7.922975135206682e-05,0.027456149660267208,0.0345709166644097,3.255519735403359e-05,4.6674553998033206e-05
37,20031031.0,0.0452109422785334,4.1127917387752265e-05,0.022747765880064996,0.0224631763984684,2.019527564395594e-05,2.093264174379633e-05
38,20031103.0,0.042338221267244514,3.257196450462956e-05,0.02380987882068553,0.018528342446558987,1.973656040770424e-05,1.2835404096925333e-05
39,20031104.0,0.03645885573378127,2.6952197072555305e-05,0.017190515517289562,0.01926834021649171,1.1450076692677955e-05,1.5502120379877343e-05
40,20031105.0,0.044216620962179036,3.961377224160388e-05,0.022581929915953758,0.021634691046225285,2.0694368679109386e-05,1.891940356249448e-05
41,20031106.0,0.04753055839696607,4.48235608678216e-05,0.02678643642646428,0.0207441219705018,2.161990751764145e-05,2.3203653350180155e-05
42,20031107.0,0.05260057971854515,5.373447728236939e-05,0.022393468382080783,0.03020711133646436,2.2642694843521107e-05,3.1091782438848275e-05
43,20031110.0,0.03746380534404459,2.520821744170767e-05,0.016124396643961703,0.021339408700082885,1.091527782429256e-05,1.4292939617415105e-05
44,20031111.0,0.03340744487757874,2.2928494577621426e-05,0.016846450447751238,0.016560994429827502,1.1132776456380297e-05,1.1795718121241125e-05
