,LR,Layer1,Layer2,Layer3,Layer4,Fitness,Generation
172,0.01,12.0,13.0,15.0,10.0,0.05000014481861981,
173,0.01,40.0,21.0,0.0,0.0,0.7349765910395952,
174,0.01,20.0,15.0,4.0,0.0,0.011789169319778027,
175,0.01,20.0,15.0,0.0,0.0,0.3142878096848487,
176,0.01,20.0,15.0,15.0,0.0,0.21151013129778612,
177,0.01,32.0,15.0,0.0,0.0,0.5849739706663367,
178,0.01,20.0,15.0,4.0,2.0,0.24448740191366936,
179,0.01,2.0,40.0,0.0,0.0,0.7581979544243475,
180,0.01,7.0,15.0,4.0,16.0,0.29908078633810464,
181,0.01,2.0,40.0,0.0,0.0,0.3713600269412781,
182,0.01,2.0,2.0,15.0,10.0,0.07064207206041484,
183,0.01,20.0,15.0,4.0,0.0,0.3307981909525335,
184,0.061,42.0,2.0,15.0,10.0,-0.012827071280703041,
185,0.01,20.0,41.0,4.0,0.0,0.6398454331624356,
186,0.01,20.0,15.0,4.0,0.0,-0.4536514148537651,
187,0.01,20.0,40.0,0.0,0.0,0.6541386854489769,
188,0.01,20.0,17.0,6.0,0.0,0.3093800393600297,
189,0.01,20.0,40.0,9.0,0.0,0.724752157273718,
190,0.01,2.0,15.0,0.0,0.0,0.660266782353844,
191,0.01,40.0,2.0,4.0,10.0,0.21851800739902005,
192,0.061,37.0,15.0,0.0,0.0,-1998430331289.432,
193,0.01,40.0,13.0,4.0,10.0,0.17509985819804985,
194,0.001,2.0,40.0,0.0,0.0,0.22193821607456346,
195,0.01,40.0,2.0,4.0,12.0,0.7208441910676775,
196,0.001,2.0,40.0,6.0,0.0,0.5884176637165581,
197,0.01,40.0,25.0,4.0,12.0,0.2489885059415373,
198,0.001,2.0,40.0,15.0,0.0,0.34881552172092545,
199,0.01,40.0,40.0,0.0,0.0,0.7311282335122076,
200,0.061,2.0,40.0,15.0,0.0,-2.548402422241955,
201,0.01,40.0,40.0,9.0,0.0,-0.35260665057400664,
202,0.01,20.0,40.0,9.0,0.0,0.17821295728733422,
203,0.01,40.0,2.0,4.0,12.0,0.4761339550634345,
204,0.01,20.0,5.0,18.0,0.0,0.16664417669586973,
205,0.01,40.0,17.0,4.0,12.0,0.08386369652673964,
206,0.01,2.0,40.0,0.0,0.0,0.21353073768191155,
207,0.01,40.0,40.0,0.0,0.0,0.5422582934649018,
208,0.061,42.0,40.0,0.0,0.0,-237859.6863650852,
209,0.001,40.0,40.0,0.0,0.0,0.6275120817955121,
210,0.01,40.0,2.0,15.0,10.0,0.2519011489900447,
211,0.01,20.0,40.0,9.0,0.0,0.3856136884659358,
212,0.041,40.0,2.0,15.0,10.0,-0.25927282275378505,
213,0.01,20.0,40.0,9.0,12.0,-0.5747815831826655,
214,0.01,20.0,40.0,4.0,0.0,0.3517447322372065,
215,0.001,40.0,2.0,4.0,12.0,0.3596085922939416,
216,0.01,20.0,9.0,15.0,0.0,0.2857377856198968,
217,0.001,40.0,21.0,4.0,12.0,0.1923468823785061,
218,0.001,40.0,21.0,0.0,0.0,0.4152740405709188,
219,0.01,40.0,40.0,15.0,10.0,0.4037537456016204,
220,0.001,22.0,21.0,0.0,0.0,0.08280821269498184,
221,0.01,40.0,40.0,15.0,4.0,-0.06276311385030342,
222,0.01,40.0,15.0,0.0,0.0,0.20170173069371544,
223,0.001,2.0,15.0,0.0,0.0,0.1530869202755628,
224,0.01,40.0,15.0,18.0,8.0,0.3330605364018437,
225,0.001,2.0,15.0,0.0,12.0,0.2392592273461458,
226,0.01,40.0,40.0,0.0,0.0,0.5605011827813416,
227,0.001,40.0,2.0,4.0,10.0,0.3148000564277542,
228,0.01,40.0,33.0,0.0,0.0,0.7058314643970516,
229,0.001,40.0,2.0,4.0,0.0,0.26322088954927714,
230,0.01,22.0,40.0,15.0,0.0,0.5306138150521363,
231,0.01,40.0,2.0,4.0,12.0,0.1128956447162044,
232,0.01,22.0,29.0,15.0,0.0,-1.2697911943868592,
233,0.01,40.0,2.0,0.0,12.0,-0.05340029990433527,
234,0.01,20.0,40.0,0.0,0.0,0.6113136745220732,
235,0.01,20.0,40.0,0.0,0.0,0.5921897357640342,
236,0.01,20.0,21.0,0.0,20.0,0.5389123341030639,
237,0.001,20.0,40.0,0.0,0.0,0.4491831348497268,
238,0.01,40.0,40.0,0.0,0.0,0.6730307436371205,
239,0.001,40.0,2.0,4.0,12.0,0.08209355378457306,
240,0.01,42.0,41.0,0.0,0.0,0.4915423240067071,
241,0.001,7.0,2.0,4.0,12.0,0.13900122501512202,
242,0.01,40.0,33.0,0.0,0.0,0.4350603732024588,
243,0.01,40.0,40.0,0.0,0.0,0.7172605900134034,
244,0.01,40.0,33.0,18.0,4.0,-0.8129860820671233,
245,0.01,40.0,41.0,0.0,0.0,0.5564017985201859,
246,0.01,40.0,21.0,0.0,0.0,0.6760105498601283,
247,0.01,40.0,2.0,15.0,10.0,0.4494295642570074,
248,0.01,40.0,5.0,0.0,8.0,0.6790810572460317,
249,0.01,40.0,13.0,15.0,10.0,0.2757142615051068,
250,0.01,40.0,40.0,0.0,0.0,0.3925035062494749,
251,0.01,40.0,40.0,0.0,0.0,0.7391267630832266,
252,0.001,32.0,40.0,0.0,0.0,0.6724563924546243,
253,0.01,40.0,40.0,0.0,8.0,0.5228095163133267,
254,0.01,22.0,40.0,15.0,0.0,0.14766947539948272,
255,0.01,40.0,2.0,15.0,10.0,0.3494581685296721,
256,0.041,22.0,40.0,15.0,12.0,-0.2241532355136323,
257,0.01,40.0,2.0,12.0,10.0,0.1381992003792064,
258,0.01,40.0,40.0,0.0,0.0,0.5156526465211847,
259,0.01,20.0,40.0,0.0,0.0,0.4896186015016914,
260,0.01,40.0,41.0,0.0,0.0,0.7109561700601039,
261,0.01,20.0,40.0,0.0,20.0,0.5994071487043983,
262,0.01,20.0,40.0,0.0,0.0,0.6165285457507479,
263,0.01,20.0,15.0,0.0,0.0,0.4311883745927161,
264,0.001,20.0,41.0,0.0,0.0,0.2869137066227171,
265,0.01,20.0,15.0,12.0,0.0,0.2562345971094269,
266,0.01,40.0,15.0,0.0,0.0,0.6488474988606605,
267,0.01,40.0,21.0,0.0,0.0,0.4939865953384704,
268,0.01,32.0,15.0,0.0,12.0,0.41622688304187605,
269,0.01,37.0,21.0,0.0,0.0,0.6060382418583306,
270,0.001,40.0,40.0,0.0,0.0,0.4536588992657527,
271,0.01,40.0,40.0,0.0,0.0,0.7264608268894172,
272,0.001,42.0,40.0,0.0,12.0,0.14002240985768566,
273,0.01,40.0,40.0,6.0,0.0,0.052795478633853136,
274,0.01,20.0,40.0,9.0,0.0,0.39632196379899776,
275,0.01,40.0,2.0,4.0,10.0,-0.09892758425685487,
276,0.001,20.0,40.0,0.0,0.0,0.2750638551740452,
277,0.01,32.0,2.0,4.0,10.0,-0.19389629786268148,
278,0.01,40.0,40.0,0.0,0.0,0.534428710370045,
279,0.01,2.0,40.0,0.0,0.0,0.5509417555403231,
280,0.061,40.0,40.0,0.0,20.0,0.2827830045818728,
281,0.01,2.0,40.0,9.0,0.0,-0.01431284327298654,
282,0.01,2.0,40.0,0.0,0.0,0.2816951888227346,
283,0.01,40.0,41.0,0.0,0.0,0.5893161074823005,
284,0.01,2.0,40.0,12.0,20.0,-0.015217927092892937,
285,0.01,40.0,5.0,0.0,0.0,0.04205176081323991,
286,0.01,40.0,40.0,0.0,0.0,0.22184078677062968,
287,0.01,40.0,40.0,0.0,0.0,0.7187804130651199,
288,0.001,40.0,9.0,0.0,0.0,0.431844998802154,
289,0.01,17.0,40.0,0.0,0.0,0.6253081784245843,
290,0.01,40.0,41.0,0.0,0.0,0.5583545672638188,
291,0.01,20.0,21.0,0.0,20.0,0.5280366646558842,
292,0.01,40.0,17.0,0.0,0.0,0.3673764130793178,
293,0.01,2.0,21.0,0.0,20.0,0.12315085925747148,
294,0.001,40.0,15.0,4.0,0.0,0.15975459187176455,
295,0.01,40.0,40.0,0.0,0.0,0.43386223740948815,
296,0.001,40.0,15.0,4.0,8.0,0.2164715219836919,
297,0.01,22.0,40.0,0.0,0.0,0.6933052421299725,
298,0.01,40.0,40.0,0.0,0.0,0.7385055905692719,
299,0.01,40.0,5.0,0.0,8.0,0.3504213772147517,
300,0.041,40.0,40.0,0.0,12.0,-1555627.124570814,
301,0.01,27.0,5.0,0.0,8.0,0.6358297040770646,
302,0.01,40.0,2.0,4.0,12.0,0.23540174902007205,
303,0.01,40.0,40.0,0.0,0.0,0.6446870693405586,
304,0.01,40.0,2.0,15.0,12.0,0.4454602056007016,
305,0.021,40.0,40.0,0.0,0.0,0.4394344514317456,
306,0.01,17.0,40.0,0.0,0.0,0.6760117246558394,
307,0.01,40.0,41.0,0.0,0.0,0.4730172386247391,
308,0.01,17.0,29.0,9.0,0.0,0.396698401323262,
309,0.01,37.0,41.0,0.0,0.0,0.6714755398283494,
310,0.01,40.0,2.0,4.0,12.0,0.35035466185703723,
311,0.01,40.0,40.0,0.0,0.0,0.6403425988894598,
312,0.01,40.0,1.0,4.0,20.0,0.22969935321550786,
313,0.01,27.0,40.0,0.0,0.0,0.5932551544804493,
314,0.01,20.0,40.0,0.0,0.0,0.6282717727491242,
315,0.01,40.0,40.0,0.0,0.0,0.7489062310756642,
316,0.041,20.0,17.0,0.0,0.0,0.32413353559513913,
317,0.01,40.0,1.0,0.0,0.0,0.6307279025037109,
318,0.01,17.0,40.0,0.0,0.0,0.6423956312837715,
319,0.01,40.0,40.0,0.0,0.0,0.3713198651218493,
320,0.001,17.0,37.0,0.0,0.0,0.3693115086742493,
321,0.01,40.0,40.0,9.0,0.0,0.13148694561672106,
322,0.001,37.0,41.0,0.0,0.0,0.445848538509387,
323,0.01,32.0,40.0,0.0,0.0,0.6925361251560092,
324,0.001,37.0,21.0,0.0,20.0,0.44980402186939705,
325,0.01,17.0,40.0,0.0,0.0,0.6009320871389162,
326,0.01,20.0,40.0,9.0,0.0,0.24620204741216575,
327,0.01,20.0,40.0,9.0,0.0,-0.25152474407328285,
328,0.021,20.0,21.0,9.0,0.0,-0.030971665461306138,
329,0.01,20.0,40.0,0.0,0.0,0.5850098259146996,
330,0.01,40.0,40.0,0.0,0.0,0.5096540616641353,
331,0.01,40.0,15.0,0.0,0.0,0.5434609869689112,
332,0.01,37.0,40.0,0.0,4.0,0.5791942693440554,
333,0.01,40.0,15.0,3.0,0.0,-0.09603686127854827,
334,0.01,17.0,40.0,0.0,0.0,0.6310581611546927,
335,0.01,40.0,40.0,0.0,0.0,0.63849575227126,
336,0.01,17.0,40.0,9.0,0.0,0.7352908530628368,
337,0.01,40.0,21.0,0.0,0.0,0.6738975734976848,
338,0.01,40.0,40.0,0.0,0.0,0.5204171727951312,
339,0.001,40.0,40.0,0.0,0.0,0.5963442138922079,
340,0.001,40.0,40.0,9.0,0.0,0.3432475273905067,
341,0.001,40.0,29.0,0.0,0.0,0.22258280189653312,
342,0.01,17.0,40.0,0.0,0.0,0.8033005293706545,
343,0.01,40.0,33.0,0.0,0.0,0.3428260103984858,
344,0.01,17.0,9.0,0.0,0.0,0.19850856229719227,
345,0.01,40.0,9.0,0.0,0.0,0.4448891387383669,
346,0.01,2.0,40.0,0.0,0.0,0.4217866734413744,
347,0.01,40.0,2.0,4.0,12.0,0.5048814552659178,
348,0.040999999999999995,2.0,40.0,0.0,8.0,0.5133197228799417,
349,0.021,40.0,2.0,4.0,12.0,-0.11187632923044744,
350,0.01,20.0,40.0,0.0,0.0,0.5143528963086657,
351,0.01,17.0,40.0,0.0,0.0,0.25402523445350633,
352,0.061,37.0,40.0,0.0,0.0,-52769572312.34453,
353,0.01,17.0,40.0,0.0,8.0,0.5943878131809417,
354,0.01,20.0,15.0,4.0,0.0,0.43777041613303225,
355,0.01,32.0,40.0,0.0,0.0,0.6557415835807371,
356,0.01,22.0,15.0,4.0,0.0,0.683163876170501,
357,0.021,32.0,40.0,0.0,0.0,0.28056470953620616,
358,0.01,20.0,15.0,4.0,0.0,0.20138769798550715,
359,0.01,40.0,40.0,0.0,0.0,0.5567049962718496,
360,0.01,20.0,13.0,4.0,0.0,0.3751828505582434,
361,0.01,40.0,40.0,3.0,0.0,-0.45263139910477207,
362,0.01,20.0,40.0,0.0,0.0,0.4504897888543271,
363,0.01,20.0,2.0,0.0,0.0,-0.056373433770421026,
364,0.01,20.0,21.0,0.0,8.0,0.5147729045052752,
365,0.01,20.0,1.0,0.0,0.0,0.26589163335787336,
366,0.01,40.0,40.0,0.0,0.0,0.4365123443004383,
367,0.01,32.0,40.0,0.0,0.0,0.6629049752043987,
368,0.001,40.0,40.0,18.0,0.0,0.7199256583233797,
369,0.01,32.0,40.0,0.0,20.0,0.5401872063520073,
370,0.01,40.0,40.0,0.0,0.0,0.5163318286798431,
371,0.01,22.0,40.0,0.0,0.0,0.6789860245408103,
372,0.01,17.0,40.0,0.0,0.0,0.726272247986535,
373,0.01,22.0,40.0,0.0,4.0,0.670402084916662,
374,0.001,17.0,40.0,0.0,0.0,0.5407639180532542,
375,0.01,40.0,40.0,0.0,0.0,0.4475939648760861,
376,0.001,17.0,40.0,0.0,12.0,0.3528157664005269,
377,0.01,40.0,40.0,6.0,0.0,0.44965952569279743,
378,0.01,40.0,40.0,0.0,0.0,0.4538788312979943,
379,0.01,40.0,40.0,0.0,0.0,0.6044021550007839,
380,0.01,40.0,33.0,18.0,0.0,0.3997032034149212,
381,0.01,40.0,25.0,0.0,0.0,0.5830848237435404,
382,0.01,22.0,40.0,0.0,0.0,0.7129345874117179,
383,0.01,22.0,40.0,0.0,0.0,0.6739572407140333,
384,0.01,22.0,37.0,18.0,0.0,0.4499676572127669,
385,0.01,22.0,40.0,0.0,20.0,0.5188337028697566,
386,0.021,22.0,40.0,0.0,0.0,0.6931570219074735,
387,0.01,40.0,15.0,0.0,4.0,0.6961778009298301,
